epoch;accuracy;loss;val_accuracy;val_loss
0;0.3322952;0.22913697298083988;0.36798134;0.18642181599581684
1;0.36389688;0.20847542434930802;0.36955047;0.18318201993963845
2;0.37753206;0.2044159021760736;0.38134012;0.18202237202306834
3;0.38968855;0.20196145985807692;0.37497878;0.1818337615257428
4;0.39408532;0.20024471517120088;0.3746395;0.18222623395085824
5;0.3997252;0.1987415485084057;0.3768872;0.18196984929312404
6;0.40607172;0.19723346041781561;0.36607295;0.18431519327585588
7;0.40837476;0.19655974177377564;0.35780323;0.1860529490336469
8;0.4128893;0.19548740195376532;0.37141645;0.1829288957540881
9;0.42016488;0.1933867750423295;0.37099236;0.18404607671033207
10;0.42399895;0.19259691004242216;0.3697201;0.184189267548514
11;0.42962575;0.19082077922565596;0.36658186;0.1847857987439191
12;0.43724155;0.18923405249203953;0.3697201;0.18425924113257922
13;0.44589114;0.1863071158528328;0.3648855;0.18694237972237937
14;0.45060194;0.18539908166442598;0.35843936;0.18693111051993114
15;0.45595393;0.18467733796153749;0.35648856;0.18919313849245079
16;0.46621305;0.18173562714031766;0.34198472;0.19420526149096312
17;0.47029573;0.18008420201284545;0.35551316;0.192370442267308
18;0.47406438;0.17899256721138954;0.3551739;0.19195485286751893
19;0.48022768;0.17722291627100537;0.35169634;0.19393691034228713
20;0.48542267;0.1759148492344788;0.3551739;0.19381974195992505
21;0.48926982;0.17515250082526887;0.33982188;0.19768808524549744
22;0.49333945;0.17360699442880495;0.33986428;0.19845173468069774
23;0.494648;0.17301362199442727;0.34198472;0.1997550987167123
24;0.50022244;0.17142259244407926;0.34495336;0.19873260666804057
25;0.5023162;0.1706834165113313;0.3370229;0.20242325581395576
26;0.50311434;0.17032835132309368;0.34122136;0.2013915386587504
27;0.5089898;0.16886042281985283;0.34007633;0.20319407154257896
28;0.51214343;0.16806256866880825;0.3354962;0.20298623738220198
29;0.51449883;0.16754855172974722;0.33914334;0.20212930624867664
