epoch;loss;val_loss
0;0.7788743653615315;0.7067127632141114
1;0.7073720447328355;0.6996876379013062
2;0.6923368340386284;0.6942520637512207
3;0.6857782188415528;0.6883480040073395
4;0.6799782118055555;0.6887535971164703
5;0.6739024087905884;0.6837337321281433
6;0.6693027957492405;0.685156333065033
7;0.6638044037818909;0.6745135558128357
8;0.6582736607445611;0.6782612790107727
9;0.653358698129654;0.6711080691337585
10;0.6493681900501251;0.6704656517028809
11;0.6455749432669745;0.667774786233902
12;0.6407958943419987;0.6661181811332703
13;0.6393284318288167;0.6658117922782898
14;0.6366197102122837;0.6598689480304718
15;0.6326403895272149;0.6600677750110626
16;0.6317050330162048;0.6639430078983307
17;0.6301637204170227;0.6612850859642029
18;0.6278671351008945;0.6582258500099182
19;0.6267388931380378;0.6574741029739379
20;0.6250409004211426;0.6613711172103882
21;0.6252294716305203;0.6558904072761536
22;0.6199899378246732;0.6593961042404175
23;0.6166345804108514;0.6612247431755066
24;0.6165507473521762;0.6578321590900421
25;0.6166543835745918;0.6547867186069488
26;0.615208755546146;0.6580321368694305
27;0.6139150103357103;0.658123702430725
28;0.6129030784289042;0.6595367063999176
29;0.6100934555689493;0.6567257799148559
30;0.6121048766242133;0.6561603935241699
31;0.6101703873528375;0.6598212354660035
32;0.6095854970084297;0.6584353262901306
33;0.6102961553679572;0.6584365470886231
34;0.6054076075500913;0.6568682679176331
35;0.6052132730854882;0.6583455938339233
36;0.6033413653479682;0.6563525597572326
37;0.6031162427266439;0.6601995650291443
38;0.603538283835517;0.6592010374546051
39;0.6035609642028809;0.6581888622760773
40;0.6027748084704081;0.6563886228561402
41;0.6005989506403605;0.6570483446121216
42;0.5995039638837178;0.6572032402992248
43;0.5973631157239279;0.6595171425819397
44;0.6006847708172268;0.6577191553115844
45;0.5961842183325026;0.657173378276825
46;0.5979125035179986;0.6583222198486328
47;0.5963151547537909;0.6564080786705017
48;0.5964521195729574;0.6563270701408386
49;0.5945219089825948;0.6573811695098877
